Ligand,Binding Affinity,rmsd/ub, rmsd/lb
refine_model252_ZINC43121107_uff_E=287.68,-7.2,0.0,0.0
refine_model252_ZINC43505251_uff_E=611.80,-6.9,0.0,0.0
refine_model252_ZINC43606073_uff_E=152.25,-6.3,0.0,0.0
refine_model252_ZINC43617259_uff_E=147.38,-6.0,0.0,0.0
refine_model252_ZINC44431354_uff_E=757.36,-5.7,0.0,0.0
refine_model252_ZINC44607992_uff_E=653.91,-6.6,0.0,0.0
refine_model252_ZINC53194131_uff_E=590.10,-6.0,0.0,0.0
refine_model252_ZINC53229570_uff_E=713.23,-4.1,0.0,0.0
refine_model252_ZINC53296154_uff_E=141.23,-5.3,0.0,0.0
refine_model252_ZINC56871274_uff_E=809.18,-4.8,0.0,0.0
refine_model252_ZINC57986567_uff_E=82.22,-4.7,0.0,0.0
refine_model252_ZINC71791185_uff_E=80.53,-6.2,0.0,0.0
refine_model252_ZINC73166841_uff_E=212.40,-5.1,0.0,0.0
refine_model252_ZINC73195993_uff_E=159.03,-5.1,0.0,0.0
refine_model252_ZINC77257204_uff_E=573.64,-6.1,0.0,0.0
refine_model252_ZINC82189149_uff_E=99.07,-6.0,0.0,0.0
refine_model252_ZINC85490208_uff_E=169.74,-4.4,0.0,0.0
refine_model252_ZINC85594516_uff_E=577.69,1.0,0.0,0.0
refine_model252_ZINC85618313_uff_E=590.31,-5.6,0.0,0.0
refine_model252_ZINC85802256_uff_E=799.79,-1.9,0.0,0.0
refine_model252_ZINC85815475_uff_E=580.92,-6.4,0.0,0.0
refine_model252_ZINC85849252_uff_E=938.90,11.8,0.0,0.0
refine_model252_ZINC85909641_uff_E=470.16,-5.7,0.0,0.0
refine_model252_ZINC85935026_uff_E=507.44,-6.3,0.0,0.0
refine_model252_ZINC85948413_uff_E=515.65,-4.6,0.0,0.0
refine_model252_ZINC85967755_uff_E=385.28,-6.4,0.0,0.0
refine_model252_ZINC85967772_uff_E=394.95,-6.4,0.0,0.0
refine_model252_ZINC85967818_uff_E=378.72,-7.0,0.0,0.0
refine_model252_ZINC85967841_uff_E=394.97,-6.6,0.0,0.0
refine_model252_ZINC85967903_uff_E=358.02,-7.2,0.0,0.0
refine_model252_ZINC85967928_uff_E=380.44,-7.7,0.0,0.0
refine_model252_ZINC85996205_uff_E=669.25,-6.9,0.0,0.0
refine_model252_ZINC85999636_uff_E=322.68,-6.2,0.0,0.0
refine_model252_ZINC86037206_uff_E=641.53,-3.8,0.0,0.0
refine_model252_ZINC87493012_uff_E=447.61,-6.6,0.0,0.0
